data,kurs średni,kurs sprzedaży
2016-01-04,3.9526,3.9788
2016-01-05,3.9792,3.9944
2016-01-07,3.9979,4.0115
2016-01-08,3.9922,4.0297
2016-01-11,4.0159,4.0518
2016-01-12,4.017,4.056
2016-01-13,3.9782,4.0533
2016-01-14,3.98,4.0054
2016-01-15,4.0284,4.0512
2016-01-18,4.0945,4.0674
2016-01-19,4.0617,4.1174
2016-01-20,4.0822,4.0988
2016-01-21,4.1084,4.1539
2016-01-22,4.0644,4.1444
2016-01-25,4.0775,4.1059
2016-01-26,4.0861,4.1092
2016-01-27,4.0516,4.0879
2016-01-28,4.0265,4.0891
2016-01-29,3.9949,4.065
2016-02-01,3.973,4.0251
2016-02-02,3.952,4.006
2016-02-03,3.9642,3.9942
2016-02-04,3.9431,4.0007
2016-02-05,3.9756,3.9996
2016-02-08,3.9869,4.0126
2016-02-09,4.0447,4.0643
2016-02-10,4.0445,4.0951
2016-02-11,4.0541,4.0766
2016-02-12,4.0089,4.0554
2016-02-15,3.9935,4.0543
2016-02-16,3.9938,4.033
2016-02-17,3.98,4.0414
2016-02-18,3.9729,4.0222
2016-02-19,3.9714,4.0065
2016-02-22,3.9668,4.0209
2016-02-23,3.9835,4.0129
2016-02-24,4.0103,4.0346
2016-02-25,4.0069,4.0588
2016-02-26,3.9888,4.0301
2016-02-29,3.9922,4.029
2016-03-01,3.9909,4.0401
2016-03-02,3.9933,4.0455
2016-03-03,3.9891,4.0418
2016-03-04,3.9822,4.0499
2016-03-07,3.9532,4.0127
2016-03-08,3.9664,3.9918
2016-03-09,3.9468,3.9861
2016-03-10,3.9447,3.9726
2016-03-11,3.9409,3.9665
2016-03-14,3.8983,3.9721
2016-03-15,3.9107,3.9494
2016-03-16,3.9192,3.963
2016-03-17,3.9143,3.9532
2016-03-18,3.9045,3.9669
2016-03-21,3.8994,3.94
2016-03-22,3.9104,3.9415
2016-03-23,3.8951,3.9463
2016-03-24,3.9201,3.9514
2016-03-25,3.9087,3.958
2016-03-29,3.9025,3.9449
2016-03-30,3.889,3.935
2016-03-31,3.904,3.9455
2016-04-01,3.8722,3.9345
2016-04-04,3.8771,3.9268
2016-04-05,3.8915,3.9203
2016-04-06,3.9042,3.9515
2016-04-07,3.9139,3.9598
2016-04-08,3.9423,3.9948
2016-04-11,3.9344,3.9876
2016-04-12,3.942,3.9662
2016-04-13,3.9343,3.9866
2016-04-14,3.9511,3.9771
2016-04-15,3.9451,3.987
2016-04-18,3.9395,3.9716
2016-04-19,3.9354,3.9857
2016-04-20,3.9352,3.9763
2016-04-21,3.9102,3.9585
2016-04-22,3.9302,3.9635
2016-04-25,3.9947,3.9948
2016-04-26,4,4.0613
2016-04-27,3.9896,4.0134
2016-04-28,4.002,4.0371
2016-04-29,4.0215,4.0403
2016-05-02,3.9844,4.0334
2016-05-04,4.0078,4.0218
2016-05-05,4.0005,4.0396
2016-05-06,4.0047,4.0527
2016-05-09,3.9961,4.0265
2016-05-10,4.0001,4.0374
2016-05-11,3.9877,4.0257
2016-05-12,4.0008,4.0237
2016-05-13,3.9944,4.0399
2016-05-16,3.9577,4.0299
2016-05-17,3.9361,3.9874
2016-05-18,3.966,3.9871
2016-05-19,3.9693,4.0088
2016-05-20,3.9724,4.0121
2016-05-23,3.9862,4.016
2016-05-24,4.0105,4.0399
2016-05-25,4,4.0512
2016-05-27,3.9795,4.035
2016-05-30,3.9757,4.0105
2016-05-31,3.9701,4.0156
2016-06-01,3.9658,4.0059
2016-06-02,3.9731,4.0241
2016-06-03,3.9746,4.014
2016-06-06,3.9598,4.0009
2016-06-07,3.9639,3.9964
2016-06-08,3.9554,3.9997
2016-06-09,3.9703,3.9845
2016-06-10,3.9941,4.0096
2016-06-13,4.036,4.0454
2016-06-14,4.092,4.0814
2016-06-15,4.075,4.1321
2016-06-16,4.1058,4.123
2016-06-17,4.0942,4.1624
2016-06-20,4.0355,4.1342
2016-06-21,4.038,4.0831
2016-06-22,4.0597,4.1189
2016-06-23,4.0383,4.0947
2016-06-24,4.1028,4.0595
2016-06-27,4.1358,4.1298
2016-06-28,4.0814,4.1708
2016-06-29,4.0712,4.1299
2016-06-30,4.0677,4.1086
2016-07-01,4.0547,4.1172
2016-07-04,4.0884,4.0986
2016-07-05,4.1165,4.1328
2016-07-06,4.1042,4.1478
2016-07-07,4.0984,4.1525
2016-07-08,4.0857,4.1298
2016-07-11,4.0657,4.1041
2016-07-12,4.0582,4.1185
2016-07-13,4.0324,4.0876
2016-07-14,4.045,4.0777
2016-07-15,4.0432,4.0845
2016-07-18,4.0499,4.0864
2016-07-19,4.028,4.0681
2016-07-20,4.0283,4.0702
2016-07-21,4.018,4.0606
2016-07-22,4.0072,4.0481
2016-07-25,4.0275,4.0516
2016-07-26,4.0299,4.0606
2016-07-27,3.9968,4.0383
2016-07-28,4.0038,4.0418
2016-07-29,4.0256,4.0478
2016-08-01,4.0313,4.0695
2016-08-02,4.019,4.0714
2016-08-03,3.9776,4.0357
2016-08-04,3.9628,4.012
2016-08-05,3.9592,4.0005
2016-08-08,3.9423,3.9816
2016-08-09,3.9148,3.9694
2016-08-10,3.9064,3.9483
2016-08-11,3.9242,3.9465
2016-08-12,3.9205,3.9633
2016-08-16,3.9295,3.9509
2016-08-17,3.9525,3.9773
2016-08-18,3.9476,3.9991
2016-08-19,3.9596,4.0007
2016-08-22,3.9555,4.0059
2016-08-23,3.9619,3.9973
2016-08-24,3.963,3.9909
2016-08-25,3.9575,3.9919
2016-08-26,3.9695,4.0034
2016-08-29,3.9686,3.9998
2016-08-30,3.9654,4.0012
2016-08-31,3.9745,4.0196
2016-09-01,3.9663,4.0119
2016-09-02,3.9949,4.0245
2016-09-05,3.9786,4.0208
2016-09-06,3.9658,4.0251
2016-09-07,3.9727,4.0104
2016-09-08,3.9502,4.003
2016-09-09,3.9444,3.995
2016-09-12,3.9695,4.0015
2016-09-13,3.9844,4.0244
2016-09-14,3.9578,4.0199
2016-09-15,3.9575,4.0037
2016-09-16,3.9548,3.9906
2016-09-19,3.935,3.9822
2016-09-20,3.935,3.9601
2016-09-21,3.951,3.9713
2016-09-22,3.933,3.9889
2016-09-23,3.9495,3.973
2016-09-26,3.9596,3.9773
2016-09-27,3.9418,3.9823
2016-09-28,3.9398,3.9764
2016-09-29,3.9479,3.9832
2016-09-30,3.9802,3.9998
2016-10-03,3.9364,3.9943
2016-10-04,3.9303,3.9777
2016-10-05,3.9212,3.9587
2016-10-06,3.9337,3.9569
2016-10-07,3.9234,3.9606
2016-10-10,3.9131,3.9473
2016-10-11,3.9023,3.9384
2016-10-12,3.924,3.9526
2016-10-13,3.9576,3.9754
2016-10-14,3.9457,3.9917
2016-10-17,3.9709,3.9937
2016-10-18,3.9613,4.024
2016-10-19,3.973,4.0089
2016-10-20,3.9785,4.0152
2016-10-21,4.0002,4.0272
2016-10-24,3.9933,4.0373
2016-10-25,3.98,4.0259
2016-10-26,3.9862,4.0119
2016-10-27,4.0039,4.0338
2016-10-28,3.9927,4.0332
2016-10-31,3.9953,4.0336
2016-11-02,4.0066,4.0377
2016-11-03,4.0067,4.0539
2016-11-04,3.9888,4.0459
2016-11-07,4.0029,4.0505
2016-11-08,4.0159,4.059
2016-11-09,4.0164,4.0608
2016-11-10,4.0351,4.072
2016-11-14,4.0998,4.104
2016-11-15,4.1046,4.1486
2016-11-16,4.1268,4.1643
2016-11-17,4.1372,4.1781
2016-11-18,4.1578,4.1899
2016-11-21,4.1345,4.1957
2016-11-22,4.1152,4.1735
2016-11-23,4.1111,4.1601
2016-11-24,4.1236,4.1728
2016-11-25,4.1073,4.1638
2016-11-28,4.1094,4.1516
2016-11-29,4.1235,4.1562
2016-11-30,4.1159,4.1661
2016-12-01,4.1409,4.1618
2016-12-02,4.1705,4.1926
2016-12-05,4.1639,4.2099
2016-12-06,4.1551,4.1996
2016-12-07,4.0852,4.1732
2016-12-08,4.0917,4.1321
2016-12-09,4.112,4.1628
2016-12-12,4.1422,4.176
2016-12-13,4.1344,4.1768
2016-12-14,4.1302,4.1663
2016-12-15,4.1334,4.1684
2016-12-16,4.1152,4.168
2016-12-19,4.1185,4.1597
2016-12-20,4.1289,4.162
2016-12-21,4.1357,4.1688
2016-12-22,4.1141,4.1656
2016-12-23,4.117,4.1566
2016-12-27,4.0964,4.145
2016-12-28,4.1083,4.1392
2016-12-29,4.119,4.1595
2016-12-30,4.1173,4.1605
