2015-01-16,15:30,4.109,4.5272,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-16&_amgcurrencylist_WAR_amgcurrencyportlet_rateTime0=15%3A30
2015-01-16,16:07,4.1558,4.5781,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-16&_amgcurrencylist_WAR_amgcurrencyportlet_rateTime0=16%3A07
2015-01-19,,4.1009,4.5185,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-19
2015-01-20,08:29,4.0522,4.4656,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-20&_amgcurrencylist_WAR_amgcurrencyportlet_rateTime0=08%3A29
2015-01-20,16:00,4.0963,4.5135,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-20&_amgcurrencylist_WAR_amgcurrencyportlet_rateTime0=16%3A00
2015-01-21,08:28,4.0961,4.5132,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-21&_amgcurrencylist_WAR_amgcurrencyportlet_rateTime0=08%3A28
2015-01-21,15:31,4.1231,4.5425,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-21&_amgcurrencylist_WAR_amgcurrencyportlet_rateTime0=15%3A31
2015-01-21,16:24,4.1072,4.5253,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-21&_amgcurrencylist_WAR_amgcurrencyportlet_rateTime0=16%3A24
2015-01-22,08:14,4.1143,4.533,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-22&_amgcurrencylist_WAR_amgcurrencyportlet_rateTime0=08%3A14
2015-01-22,15:24,4.1434,4.5646,http://raiffeisenpolbank.com/kursy-walut/tabela-kursow-walut/-/amg-currency-list/amgcurrencylist_WAR_amgcurrencyportlet/show-rates?_amgcurrencylist_WAR_amgcurrencyportlet_rateDate0=2015-01-22&_amgcurrencylist_WAR_amgcurrencyportlet_rateTime0=15%3A24
