data,kurs średni,kurs sprzedaży
2017-05-17,3.839,3.868
2017-05-18,3.8678,3.8793
2017-05-19,3.8594,3.9171
2017-05-22,3.8502,3.8879
2017-05-23,3.8448,3.8859
2017-05-24,3.8471,3.8868
2017-05-25,3.8289,3.8661
2017-05-26,3.8381,3.8691
2017-05-29,3.8373,3.8767
2017-05-30,3.8326,3.8757
2017-05-31,3.8338,3.864
2017-06-01,3.8378,3.8701
2017-06-02,3.8443,3.887
2017-06-05,3.8471,3.8864
2017-06-06,3.862,3.8985
2017-06-07,3.8662,3.9
2017-06-08,3.8693,3.9067
2017-06-09,3.8566,3.9073
2017-06-12,3.8612,3.8981
2017-06-13,3.8667,3.9025
2017-06-14,3.8702,3.9058
2017-06-16,3.8771,3.8911
2017-06-19,3.8711,3.9159
2017-06-20,3.8865,3.9171
2017-06-21,3.9104,3.9276
2017-06-22,3.905,3.9431
2017-06-23,3.8977,3.9511
2017-06-26,3.8773,3.935
2017-06-27,3.8719,3.9067
2017-06-28,3.8782,3.9167
2017-06-29,3.8791,3.9237
2017-06-30,3.8667,3.9188
2017-07-03,3.8735,3.9057
2017-07-04,3.8752,3.9127
2017-07-05,3.878,3.9147
2017-07-06,3.8688,3.9146
2017-07-07,3.8525,3.9066
2017-07-10,3.8521,3.8947
2017-07-11,3.8446,3.8828
2017-07-12,3.8442,3.8832
2017-07-13,3.8515,3.8837
2017-07-14,3.8162,3.8761
2017-07-17,3.8148,3.85
2017-07-18,3.8088,3.8544
2017-07-19,3.8256,3.8446
2017-07-20,3.8276,3.8704
2017-07-21,3.8195,3.8421
2017-07-24,3.8489,3.8861
2017-07-25,3.8548,3.8926
2017-07-26,3.8404,3.8803
2017-07-27,3.8116,3.8549
2017-07-28,3.749,3.8263
2017-07-31,3.7381,3.7745
2017-08-01,3.7288,3.7714
2017-08-02,3.7081,3.7673
2017-08-03,3.7072,3.7438
2017-08-04,3.6898,3.7291
2017-08-07,3.7018,3.7211
2017-08-08,3.7036,3.7436
2017-08-09,3.7693,3.7411
2017-08-10,3.772,3.8101
2017-08-11,3.7975,3.8105
2017-08-14,3.7559,3.812
2017-08-16,3.7403,3.7807
2017-08-17,3.7569,3.7763
2017-08-18,3.7931,3.8018
2017-08-21,3.7641,3.8348
2017-08-22,3.7623,3.7963
2017-08-23,3.7459,3.7953
2017-08-24,3.7639,3.7954
2017-08-25,3.7472,3.793
2017-08-28,3.7501,3.7707
2017-08-29,3.741,3.7609
2017-08-30,3.7326,3.7877
2017-08-31,3.7184,3.7614
2017-09-01,3.7134,3.7533
2017-09-04,3.735,3.7596
2017-09-05,3.7128,3.7602
2017-09-06,3.7263,3.7524
2017-09-07,3.7256,3.7609
2017-09-08,3.7194,3.7533
2017-09-11,3.7201,3.767
2017-09-12,3.7152,3.7608
2017-09-13,3.7119,3.7528
2017-09-14,3.7206,3.7635
2017-09-15,3.7332,3.7691
2017-09-18,3.7376,3.7643
2017-09-19,3.7264,3.7746
2017-09-20,3.7092,3.7519
2017-09-21,3.7042,3.7416
2017-09-22,3.6807,3.7269
2017-09-25,3.6887,3.7169
2017-09-26,3.7368,3.7381
2017-09-27,3.7588,3.7837
2017-09-28,3.7668,3.8105
2017-09-29,3.7619,3.8019
2017-10-02,3.7825,3.7915
2017-10-03,3.7618,3.8197
2017-10-04,3.7581,3.8004
2017-10-05,3.7435,3.7931
